Chidamber-Kemerer metrics,Mon, 5 Aug 2024 13:39:49 NZST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.apache.commons.text.translate.NumericEntityUnescaper.OPTION,2,n/a,2,n/a,2,0
org.apache.commons.text.translate.NumericEntityUnescaperTest,3,1,5,0,11,5
org.apache.commons.text.translate.OctalUnescaper,3,2,1,0,11,6
org.apache.commons.text.translate.OctalUnescaperTest,2,1,1,0,5,1
org.apache.commons.text.translate.SinglePassTranslator,4,2,1,3,10,4
org.apache.commons.text.translate.SinglePassTranslatorTest,1,1,1,0,10,5
org.apache.commons.text.translate.UnicodeEscaper,5,3,3,1,11,12
org.apache.commons.text.translate.UnicodeEscaperTest,2,1,3,0,10,3
org.apache.commons.text.translate.UnicodeUnescaper,3,2,1,0,9,5
org.apache.commons.text.translate.UnicodeUnescaperTest,2,1,3,0,8,3
org.apache.commons.text.translate.UnicodeUnpairedSurrogateRemover,3,3,1,0,1,1
org.apache.commons.text.translate.UnicodeUnpairedSurrogateRemoverTest,1,1,1,0,10,2

